"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.890419360E-1,-2.057827413E-1,9.669396400E0,-1.287338614E0,9.756885466E0
5.915750090E-1,-2.249253243E-1,9.688538551E0,-1.292124271E0,9.776909317E0
5.941072490E-1,-2.464607358E-1,9.707681656E0,-1.277767301E0,9.794514552E0
5.966395400E-1,-2.656033039E-1,9.722038269E0,-1.265803218E0,9.807692440E0
5.991726650E-1,-2.823530734E-1,9.722038269E0,-1.237089276E0,9.804495971E0
6.017057380E-1,-2.847459018E-1,9.736394882E0,-1.179661512E0,9.811731081E0
6.042379780E-1,-2.967100143E-1,9.750752449E0,-1.131805062E0,9.820702259E0
6.067702170E-1,-3.086741269E-1,9.750752449E0,-1.122233868E0,9.819972601E0
6.093033420E-1,-3.062812984E-1,9.748359680E0,-1.112662554E0,9.816432277E0
6.118364150E-1,-2.991028428E-1,9.738788605E0,-1.107876897E0,9.806164246E0
6.143686550E-1,-2.871387303E-1,9.731609344E0,-1.115055323E0,9.799490673E0
6.169008940E-1,-2.775674164E-1,9.714859962E0,-1.124626637E0,9.783676857E0
6.194340190E-1,-2.392822653E-1,9.700503349E0,-1.129412293E0,9.768960710E0
6.219670920E-1,-1.962114573E-1,9.695717812E0,-1.129412293E0,9.763248176E0
6.244993320E-1,-1.746760458E-1,9.686145782E0,-1.134197950E0,9.753888293E0
6.270316240E-1,-1.387837082E-1,9.671789169E0,-1.143769264E0,9.740173242E0
6.295647490E-1,-1.004985496E-1,9.657432556E0,-1.138983607E0,9.724884945E0
6.320978220E-1,-7.178468257E-2,9.650253296E0,-1.138983607E0,9.717500984E0
6.346300610E-1,-5.742774159E-2,9.652647018E0,-1.165304661E0,9.722902209E0
6.371623010E-1,-3.828516230E-2,9.655039787E0,-1.184447169E0,9.727495780E0
6.396954260E-1,-2.632104978E-2,9.659825325E0,-1.191625714E0,9.733082243E0
6.422284990E-1,-1.674975827E-2,9.662218094E0,-1.203589797E0,9.736907489E0
6.447607380E-1,-1.196411345E-2,9.657432556E0,-1.189232826E0,9.730386500E0
6.472929780E-1,-2.871387079E-2,9.686145782E0,-1.167697430E0,9.756319075E0
6.498261030E-1,-3.589234129E-2,9.712467194E0,-1.191625714E0,9.785360448E0
6.523591760E-1,-4.546362907E-2,9.719645500E0,-1.217946768E0,9.795762855E0
6.548914150E-1,-6.221338734E-2,9.731609344E0,-1.237089276E0,9.810121346E0
6.574236550E-1,-6.699903309E-2,9.748359680E0,-1.263410330E0,9.830117547E0
6.599567800E-1,-7.417750359E-2,9.767501831E0,-1.282552958E0,9.851626080E0
6.624899050E-1,-7.896314561E-2,9.784252167E0,-1.292124271E0,9.869519278E0
6.650220920E-1,-7.417750359E-2,9.791430473E0,-1.256231904E0,9.871966958E0
6.675543840E-1,-5.742774159E-2,9.793823242E0,-1.205982566E0,9.867961572E0
6.700875090E-1,-1.914258115E-2,9.796216011E0,-1.170090318E0,9.865866709E0
6.726205820E-1,3.828516230E-2,9.786644936E0,-1.138983607E0,9.852774660E0
6.751528220E-1,1.028913707E-1,9.760323524E0,-1.150947690E0,9.828488313E0
6.776850610E-1,1.555334777E-1,9.753145218E0,-1.201196909E0,9.828067273E0
6.802181860E-1,1.914258152E-1,9.760323524E0,-1.256231904E0,9.842696670E0
6.827512590E-1,2.153540403E-1,9.724431038E0,-1.296909928E0,9.812895176E0
6.852834990E-1,2.440679073E-1,9.705288887E0,-1.335195065E0,9.799742210E0
6.878157380E-1,2.703889608E-1,9.707681656E0,-1.378265858E0,9.808761904E0
6.903488630E-1,2.943171859E-1,9.700503349E0,-1.426122308E0,9.809190215E0
6.928819360E-1,3.134597540E-1,9.698110580E0,-1.459621787E0,9.812344348E0
6.954141760E-1,3.206382394E-1,9.683753014E0,-1.493121386E0,9.803432704E0
6.979464670E-1,3.326023519E-1,9.681360245E0,-1.540977836E0,9.808872168E0
7.004795920E-1,3.349951804E-1,9.681360245E0,-1.591227055E0,9.816973133E0
7.030126650E-1,3.086741269E-1,9.678967476E0,-1.636690736E0,9.821224347E0
7.055449050E-1,2.727817893E-1,9.688538551E0,-1.670190215E0,9.835228748E0
7.080771440E-1,2.321037948E-1,9.690931320E0,-1.691725612E0,9.840221419E0
7.106102690E-1,2.033899277E-1,9.693324089E0,-1.694118381E0,9.842354213E0
7.131433420E-1,1.866401732E-1,9.698110580E0,-1.684547186E0,9.845094342E0
7.156755820E-1,1.746760458E-1,9.698110580E0,-1.679761529E0,9.844057057E0
7.182078220E-1,1.722832322E-1,9.700503349E0,-1.672582984E0,9.845150105E0
7.207409470E-1,1.842473447E-1,9.688538551E0,-1.658226132E0,9.831146436E0
7.232740720E-1,1.962114573E-1,9.678967476E0,-1.658226132E0,9.821946052E0
7.258062590E-1,1.938186288E-1,9.671789169E0,-1.663011789E0,9.815634448E0
7.283385510E-1,1.866401732E-1,9.662218094E0,-1.665404558E0,9.806470588E0
7.308716760E-1,1.890329868E-1,9.664610863E0,-1.677368641E0,9.810912402E0
7.334047490E-1,1.890329868E-1,9.657432556E0,-1.689332843E0,9.805895293E0
7.359369880E-1,1.938186288E-1,9.650253296E0,-1.691725612E0,9.799331094E0
7.384692280E-1,1.962114573E-1,9.655039787E0,-1.660618901E0,9.798772748E0
7.410023530E-1,1.914258152E-1,9.645467758E0,-1.634297848E0,9.784815868E0
7.435354260E-1,1.962114573E-1,9.631111145E0,-1.619940877E0,9.768367789E0
7.460676650E-1,2.153540403E-1,9.635896683E0,-1.610369682E0,9.771907324E0
7.485999050E-1,2.344966233E-1,9.643074989E0,-1.591227055E0,9.776292112E0
7.511330300E-1,2.512463629E-1,9.633503914E0,-1.560120344E0,9.762248608E0
7.536661030E-1,2.679961324E-1,9.623932838E0,-1.538584948E0,9.749828144E0
7.561983420E-1,2.799602449E-1,9.616754532E0,-1.526620865E0,9.741196884E0
7.587306340E-1,2.967100143E-1,9.619147301E0,-1.507478237E0,9.741073979E0
7.612637590E-1,3.062812984E-1,9.621540070E0,-1.488335729E0,9.740789741E0
7.637968320E-1,2.967100143E-1,9.611968994E0,-1.478764415E0,9.729580103E0
7.663290720E-1,3.014956415E-1,9.600004196E0,-1.457229018E0,9.714653705E0
7.688613110E-1,3.158525825E-1,9.583254814E0,-1.435693622E0,9.695346918E0
7.713944360E-1,3.349951804E-1,9.595218658E0,-1.416550994E0,9.705001782E0
7.739275090E-1,3.421736360E-1,9.640682220E0,-1.383051515E0,9.745392140E0
7.764597490E-1,3.445664644E-1,9.671789169E0,-1.339980721E0,9.770249747E0
7.789919880E-1,3.397808075E-1,9.678967476E0,-1.296909928E0,9.771378498E0
7.815251130E-1,3.230310678E-1,9.681360245E0,-1.263410330E0,9.768791682E0
7.840581860E-1,2.967100143E-1,9.671789169E0,-1.265803218E0,9.758780680E0
7.865904260E-1,2.656033039E-1,9.647860527E0,-1.289731383E0,9.737307888E0
7.891227170E-1,2.321037948E-1,9.633503914E0,-1.316052437E0,9.725752611E0
7.916558420E-1,2.081755698E-1,9.631111145E0,-1.347159147E0,9.727100119E0
7.941889150E-1,1.890329868E-1,9.633503914E0,-1.354337573E0,9.730075097E0
7.967211030E-1,1.866401732E-1,9.640682220E0,-1.351944804E0,9.736803530E0
7.992533940E-1,1.986042857E-1,9.640682220E0,-1.330409408E0,9.734073481E0
8.017865190E-1,2.081755698E-1,9.633503914E0,-1.316052437E0,9.725210987E0
8.043195920E-1,2.321037948E-1,9.626325607E0,-1.316052437E0,9.718642440E0
8.068518320E-1,2.703889608E-1,9.607182503E0,-1.301695466E0,9.698735841E0
8.093840720E-1,2.871387303E-1,9.583254814E0,-1.328016520E0,9.679093416E0
8.119171970E-1,2.703889608E-1,9.578469276E0,-1.359123230E0,9.678191971E0
