"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.176636407E0,1.604115069E-1,9.902418137E0,1.168370485E0
5.192657907E0,1.005564705E-1,9.868899345E0,1.225831270E0
5.208679406E0,6.703764945E-2,9.773131371E0,1.175553083E0
5.224700905E0,1.125274822E-1,9.744400978E0,1.187524080E0
5.240722404E0,1.556231081E-1,9.866505623E0,1.206677675E0
5.256774421E0,6.703764945E-2,9.859322548E0,1.261744261E0
5.272795919E0,-7.182605099E-3,9.854534149E0,1.242590666E0
5.288817419E0,-2.873042040E-2,9.792284966E0,1.151610970E0
5.304838917E0,-7.900865376E-2,9.859322548E0,1.144428372E0
5.320890934E0,-1.484405100E-1,9.864110947E0,1.201889277E0
5.336912433E0,-9.097966552E-2,9.773131371E0,1.237802267E0
5.352933932E0,0.000000000E0,9.665391922E0,1.283292055E0
5.368955431E0,6.224924326E-2,9.718064308E0,1.259350061E0
5.385007447E0,4.548983276E-2,9.813833237E0,1.204283476E0
5.401028946E0,4.309562966E-2,9.854534149E0,1.292868972E0
5.417050446E0,1.125274822E-1,9.885659218E0,1.209071875E0
5.433071944E0,7.900865376E-2,9.794678688E0,1.082179189E0
5.449093444E0,2.633621916E-2,9.782708168E0,1.194706678E0
5.465145460E0,6.464344263E-2,9.859322548E0,1.491587639E0
5.481166958E0,3.830722719E-2,9.782708168E0,1.132457376E0
5.497188458E0,5.027823523E-2,9.619902611E0,1.072602391E0
5.513209957E0,1.699883193E-1,9.708487511E0,1.137245774E0
5.529231456E0,2.106897533E-1,9.873687744E0,1.175553083E0
5.545283472E0,2.466027737E-1,9.945513725E0,1.170764685E0
5.561304972E0,3.136404157E-1,9.914389610E0,1.177947283E0
5.577326470E0,3.112462163E-1,9.832986832E0,1.154005170E0
5.593347970E0,3.399766386E-1,9.746794701E0,1.199495077E0
5.609369468E0,2.466027737E-1,9.801861763E0,1.312022567E0
5.625390968E0,1.939303428E-1,9.797073364E0,1.254561663E0
5.641442984E0,9.337386489E-2,9.758766174E0,1.228225470E0
5.657464483E0,2.154781483E-2,9.768342972E0,1.230619669E0
5.673485982E0,0.000000000E0,9.751583099E0,1.209071875E0
5.689507481E0,-8.379705995E-2,9.773131371E0,1.290474772E0
5.705528980E0,-1.484405100E-1,9.770736694E0,1.367089152E0
5.721550479E0,-5.027823523E-2,9.749189377E0,1.261744261E0
5.737602495E0,2.633621916E-2,9.753977776E0,1.173158884E0
5.753623995E0,4.070143029E-2,9.883264542E0,1.261744261E0
5.769553943E0,2.154781483E-2,9.868899345E0,1.168370485E0
5.785575441E0,-4.548983276E-2,9.816226959E0,1.139639974E0
5.801596941E0,-8.619125932E-2,9.842563629E0,1.307234168E0
5.817648957E0,-2.394201607E-2,9.895236015E0,1.333570361E0
5.833670455E0,5.267243832E-2,9.746794701E0,1.134851575E0
5.849691955E0,4.788403399E-3,9.742006302E0,1.108515382E0
5.865713454E0,-2.394201700E-3,9.777919769E0,1.144428372E0
5.881765471E0,-1.125274822E-1,9.864110947E0,1.319205165E0
5.897786969E0,-1.292868853E-1,9.825803757E0,1.280897856E0
5.913808469E0,-6.224924326E-2,9.773131371E0,1.244984865E0
5.929829967E0,-1.268926859E-1,9.799467087E0,1.113303781E0
5.945881983E0,-1.795651317E-1,9.821015358E0,1.127668977E0
5.961903483E0,-1.292868853E-1,9.780313492E0,1.199495077E0
5.977924982E0,-5.506663769E-2,9.694122314E0,1.206677675E0
5.993946481E0,-1.675941236E-2,9.703699112E0,1.199495077E0
6.009967980E0,-2.394201700E-3,9.789890289E0,1.106121182E0
6.026019996E0,-1.029506698E-1,9.830592155E0,1.130063176E0
6.042041495E0,-1.244984865E-1,9.837775230E0,1.244984865E0
6.058062994E0,-1.197100878E-1,9.785101891E0,1.194706678E0
6.074084494E0,-1.723825186E-1,9.832986832E0,1.046266198E0
6.090105992E0,-1.915361285E-1,9.880870819E0,1.120486379E0
6.106158008E0,-1.604115069E-1,9.806650162E0,1.156399369E0
6.122179508E0,-1.460463107E-1,9.797073364E0,1.194706678E0
6.138201006E0,-1.867477298E-1,9.780313492E0,1.110909581E0
6.154222506E0,-2.059013397E-1,9.761159897E0,1.134851575E0
6.170244005E0,-2.130839527E-1,9.825803757E0,1.089361787E0
6.186265504E0,-2.226607651E-1,9.816226959E0,1.134851575E0
6.202317520E0,-1.939303428E-1,9.818621635E0,1.302445769E0
6.218339020E0,-1.723825186E-1,9.797073364E0,1.194706678E0
6.234360518E0,-1.915361285E-1,9.737217903E0,1.206677675E0
6.250382018E0,-1.604115069E-1,9.787496567E0,1.371877551E0
6.266403516E0,-2.035071403E-1,9.813833237E0,1.249773264E0
6.282425016E0,-1.939303428E-1,9.878476143E0,1.244984865E0
6.298446515E0,-9.576806426E-2,9.804255486E0,1.154005170E0
6.314468014E0,-1.460463107E-1,9.806650162E0,1.027112484E0
6.330489513E0,-1.843535304E-1,9.821015358E0,1.185129881E0
6.346541529E0,-2.106897533E-1,9.835380554E0,1.163581967E0
6.362563028E0,-1.939303428E-1,9.837775230E0,1.029506683E0
6.378584527E0,-2.418143749E-1,9.907206535E0,1.053448796E0
6.394606027E0,-3.399766386E-1,9.900024414E0,1.063025594E0
6.410627525E0,-3.088520169E-1,9.854534149E0,1.154005170E0
6.426649025E0,-2.777273953E-1,9.832986832E0,1.163581967E0
6.442670523E0,-2.537853718E-1,9.780313492E0,1.244984865E0
6.458722540E0,-2.801215947E-1,9.742006302E0,1.268926859E0
6.474744039E0,-3.758896589E-1,9.658209801E0,1.233013868E0
