BioWare 3.0 Export
Device:	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA
Samples (#):	3107	3107	3107	3107
Rate (Hz):	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	3106	3106	3106	3106
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	15.530000	15.530000	15.530000	15.530000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	692.799622	692.799622	692.799622	692.799622
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft
	N	N	N	N
1.195000	-3.649446	2.171526	568.770210	568.786064
1.200000	-3.883244	1.784328	566.801254	566.817365
1.205000	-3.765749	2.093674	568.512207	568.528534
1.210000	-3.765749	2.133013	568.513168	568.529641
1.215000	-3.765450	2.171526	568.341766	568.358388
1.220000	-3.687617	2.054748	569.111755	569.127412
1.225000	-3.999249	1.823254	567.227112	567.244140
1.230000	-3.765153	2.094500	568.254700	568.271033
1.235000	-3.726683	1.707301	567.484993	567.499798
1.240000	-3.998356	1.397955	567.056900	567.072719
1.245000	-3.415051	1.823667	569.111221	569.124389
1.250000	-3.220319	2.016647	571.078682	571.091322
1.255000	-2.831152	2.056397	571.849686	571.860391
1.260000	-3.998057	1.204150	565.516045	565.531459
1.265000	-4.036528	1.166050	566.457542	566.473124
1.270000	-3.220021	1.591349	569.280655	569.291986
1.275000	-3.842689	0.701000	566.027565	566.041043
1.280000	-2.868729	1.437294	570.904694	570.913710
1.285000	-3.024396	1.050096	569.706451	569.715447
1.290000	-2.791491	0.855878	569.449562	569.457047
1.295000	-2.323597	0.971419	570.304520	570.310080
1.300000	-2.556204	0.624386	569.448029	569.454108
1.305000	-2.440496	0.276114	568.761597	568.766900
1.310000	-2.012561	0.508432	571.072800	571.076572
1.315000	-1.856894	0.431406	571.073860	571.077042
1.320000	-2.051627	-0.188110	568.590332	568.594065
1.325000	-2.362365	-0.458941	567.821953	567.827052
1.330000	-2.557693	-0.652747	566.964142	566.970287
1.335000	-2.128567	-0.304063	569.104912	569.108974
1.340000	-2.712764	-0.962506	565.852493	565.859814
1.345000	-2.712466	-0.961680	565.767059	565.774379
1.350000	-1.856299	-0.342164	569.619942	569.623069
1.355000	-2.829961	-1.116971	565.082886	565.091076
1.360000	-1.973495	-0.613820	568.163315	568.167074
1.365000	-2.518627	-0.922753	566.365067	566.371418
1.370000	-2.634931	-0.729774	567.048759	567.055351
1.375000	-2.441092	-1.039533	565.851379	565.857600
1.380000	-2.440794	-0.846140	566.022545	566.028440
1.385000	-1.623393	-0.420841	568.845673	568.848145
1.390000	-2.518925	-1.156724	563.967896	563.974707
1.395000	-2.129758	-0.846140	565.850281	565.854921
