"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.483625358E0,-1.052842021E0,9.608379364E0,9.726824164E-1
4.500292024E0,-1.024128079E0,9.680164337E0,9.732806087E-1
4.516958690E0,-1.019940615E0,9.799804688E0,1.001994491E0
4.533625356E0,-1.100698471E0,9.718449593E0,9.535398483E-1
4.550292022E0,-1.196411371E0,9.555737495E0,9.523434043E-1
4.566958688E0,-1.240080357E0,9.516854286E0,9.619147182E-1
4.583625354E0,-1.341177106E0,9.579067230E0,9.607182741E-1
4.600292020E0,-1.432104349E0,9.655039787E0,8.931210637E-1
4.616958686E0,-1.523629785E0,9.726225853E0,8.542376757E-1
4.633625352E0,-1.504487276E0,9.759725571E0,8.590233326E-1
4.650292018E0,-1.480558991E0,9.716654778E0,8.787640929E-1
4.666958684E0,-1.384247899E0,9.569496155E0,9.367900491E-1
4.683625350E0,-1.336391449E0,9.531210899E0,1.027717352E0
4.700292016E0,-1.360319614E0,9.617352486E0,9.750752449E-1
4.716958682E0,-1.365105271E0,9.693324089E0,9.320043921E-1
4.733625348E0,-1.379462242E0,9.707681656E0,9.080761671E-1
4.750292014E0,-1.422533035E0,9.722038269E0,8.739784956E-1
4.766958680E0,-1.422533035E0,9.698110580E0,9.026923180E-1
4.783625346E0,-1.370489120E0,9.574281693E0,1.008574724E0
4.800292012E0,-1.317847013E0,9.598209381E0,1.070788145E0
4.816958678E0,-1.293918848E0,9.636494637E0,1.047458172E0
4.833625344E0,-1.221535921E0,9.660423279E0,9.954141974E-1
4.850292010E0,-1.109671474E0,9.612566948E0,8.721838593E-1
4.866958676E0,-1.119242787E0,9.646066666E0,8.530412912E-1
4.883625342E0,-1.091127157E0,9.770493507E0,8.961120844E-1
4.900292008E0,-1.124626637E0,9.746564865E0,8.530412912E-1
4.916958674E0,-1.177268744E0,9.717850685E0,8.333004713E-1
4.933625340E0,-1.239482164E0,9.665208817E0,8.805587292E-1
4.950292006E0,-1.162911773E0,9.584450722E0,9.481559992E-1
4.966958672E0,-1.057029366E0,9.603593826E0,9.014959335E-1
4.983625338E0,-1.147956610E0,9.650852203E0,8.668000102E-1
5.000292004E0,-1.234696507E0,9.717850685E0,8.470591903E-1
5.016958670E0,-1.249053478E0,9.817750931E0,7.800601721E-1
5.033625336E0,-1.272981644E0,9.774680138E0,7.417750359E-1
5.050292002E0,-1.302293777E0,9.674181938E0,8.512466550E-1
5.066958668E0,-1.302293777E0,9.516854286E0,9.134600163E-1
5.083625334E0,-1.311266780E0,9.545567513E0,8.512466550E-1
5.100292000E0,-1.364507079E0,9.611968994E0,8.458628058E-1
5.116958666E0,-1.446461320E0,9.697511673E0,8.165507317E-1
5.133625332E0,-1.512862086E0,9.683155060E0,7.537391186E-1
5.150291998E0,-1.633699656E0,9.763913155E0,7.812566161E-1
5.166958664E0,-1.609771490E0,9.739984512E0,8.201399446E-1
5.183625330E0,-1.546959877E0,9.664012909E0,8.303094506E-1
5.200291996E0,-1.335195065E0,9.597611427E0,8.416753411E-1
5.216958662E0,-1.253839016E0,9.631709099E0,8.709874153E-1
5.233625328E0,-1.244267821E0,9.674779892E0,8.757730722E-1
