"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.198010900E-1,-1.699890137E0,7.000640869E0,-3.208236694E0,7.886151263E0
6.248364900E-1,-1.795654297E0,6.473922729E0,-3.031066895E0,7.370442075E0
6.298718900E-1,-1.795654297E0,5.990295410E0,-2.820373535E0,6.860212849E0
6.348767730E-1,-1.719039917E0,5.559341431E0,-2.614471436E0,6.379407203E0
6.399121740E-1,-1.551437378E0,5.176269531E0,-2.451660156E0,5.933916221E0
6.449475740E-1,-1.393432617E0,4.841079712E0,-2.274490356E0,5.527297135E0
6.499829740E-1,-1.130065918E0,4.601654053E0,-2.097320557E0,5.181797229E0
6.549878570E-1,-8.283996582E-1,4.453216553E0,-1.948883057E0,4.931077857E0
6.600232580E-1,-5.219421387E-1,4.376602173E0,-1.843536377E0,4.777624572E0
6.650586580E-1,-2.250518799E-1,4.400543213E0,-1.790863037E0,4.756324141E0
6.700635410E-1,1.435852051E-2,4.558563232E0,-1.742980957E0,4.880439276E0
6.750989410E-1,1.819610596E-1,4.836288452E0,-1.747772217E0,5.145629557E0
6.801343420E-1,2.825164795E-1,5.233718872E0,-1.762130737E0,5.529623272E0
6.851697420E-1,3.495483398E-1,5.731719971E0,-1.795654297E0,6.016574791E0
6.901746250E-1,4.022216797E-1,6.306320190E0,-1.838745117E0,6.581218750E0
6.952100250E-1,4.165954590E-1,6.957550049E0,-1.862686157E0,7.214613931E0
7.002454260E-1,3.878631592E-1,7.618347168E0,-1.896209717E0,7.860360214E0
7.052808260E-1,4.165954590E-1,8.331817627E0,-1.953674316E0,8.567939080E0
7.102857090E-1,4.692687988E-1,9.069229126E0,-2.092529297E0,9.319324493E0
7.153211090E-1,5.410919189E-1,9.821014404E0,-2.312805176E0,1.010416608E1
7.203565100E-1,6.560058594E-1,1.056321716E1,-2.614471436E0,1.090171369E1
7.253919100E-1,8.283996582E-1,1.129106140E1,-2.916137695E0,1.169094404E1
7.303967930E-1,1.034301758E0,1.197579956E1,-3.169921875E0,1.243132977E1
7.354321930E-1,1.264144897E0,1.253125000E1,-3.457229614E0,1.306073220E1
7.404675930E-1,1.450881958E0,1.291432190E1,-3.739746094E0,1.352296082E1
7.454724760E-1,1.594543457E0,1.308670044E1,-3.955215454E0,1.376401201E1
7.505078770E-1,1.714248657E0,1.309149170E1,-4.050994873E0,1.381073361E1
7.555432770E-1,1.833953857E0,1.297178650E1,-3.983947754E0,1.369315418E1
7.605786770E-1,1.848327637E0,1.269406128E1,-3.782836914E0,1.337405555E1
7.655835600E-1,1.829162598E0,1.234928894E1,-3.423706055E0,1.294498112E1
7.706189610E-1,1.733398438E0,1.198536682E1,-2.983169556E0,1.247208838E1
7.756543610E-1,1.704666138E0,1.160708618E1,-2.542648315E0,1.200397421E1
7.806897610E-1,1.623275757E0,1.125753784E1,-2.130844116E0,1.157184856E1
7.856946440E-1,1.503555298E0,1.090319824E1,-1.781280518E0,1.114959061E1
7.907300450E-1,1.359909058E0,1.058715820E1,-1.561019897E0,1.078768069E1
7.957654450E-1,1.221038818E0,1.027590942E1,-1.379058838E0,1.043968647E1
8.007703280E-1,1.067810059E0,1.000297546E1,-1.297653198E0,1.014315731E1
8.058057280E-1,9.481048584E-1,9.768341064E0,-1.259353638E0,9.894713819E0
8.108411290E-1,8.954315186E-1,9.552871704E0,-1.221038818E0,9.672129610E0
8.158765290E-1,8.092346191E-1,9.380477905E0,-1.192306519E0,9.490512169E0
8.208814120E-1,7.278442383E-1,9.222457886E0,-1.144424438E0,9.321651891E0
8.259168120E-1,6.799468994E-1,9.059661865E0,-1.082183838E0,9.149367342E0
8.309522130E-1,5.985565186E-1,8.901641846E0,-1.072601318E0,8.985987483E0
8.359876130E-1,5.746154785E-1,8.757995605E0,-9.959869385E-1,8.833156851E0
8.409924960E-1,5.410919189E-1,8.609542847E0,-9.193725586E-1,8.675382089E0
8.460278960E-1,4.836273193E-1,8.475479126E0,-8.523406982E-1,8.531947402E0
8.510632970E-1,4.309539795E-1,8.398864746E0,-7.948760986E-1,8.447394768E0
8.560681790E-1,3.639221191E-1,8.298309326E0,-7.230529785E-1,8.337696480E0
8.611035800E-1,2.873077393E-1,8.240844727E0,-6.751708984E-1,8.273446881E0
8.661389800E-1,2.059020996E-1,8.197753906E0,-6.416473389E-1,8.225404312E0
8.711743810E-1,1.340789795E-1,8.135498047E0,-6.368560791E-1,8.161488302E0
8.761792630E-1,3.831481934E-2,8.111557007E0,-6.799468994E-1,8.140095386E0
8.812146640E-1,-3.352355957E-2,8.087615967E0,-7.182617188E-1,8.119516965E0
8.862500640E-1,-8.140563965E-2,8.082824707E0,-7.517852783E-1,8.118119439E0
8.912854650E-1,-1.340789795E-1,8.078033447E0,-7.948760986E-1,8.118154320E0
8.962903470E-1,-1.244964600E-1,8.073242188E0,-8.523406982E-1,8.119065430E0
9.013257480E-1,-1.915435791E-1,8.087615967E0,-9.145812988E-1,8.141417562E0
9.063611480E-1,-2.106933594E-1,8.111557007E0,-9.672546387E-1,8.171739735E0
9.113660310E-1,-2.346343994E-1,8.135498047E0,-1.019927979E0,8.202538318E0
9.164014310E-1,-2.442016602E-1,8.173797607E0,-1.048660278E0,8.244409631E0
9.214368320E-1,-2.729339600E-1,8.197753906E0,-1.067810059E0,8.271510163E0
9.264722320E-1,-2.873077393E-1,8.250411987E0,-1.058242798E0,8.322963506E0
9.314771150E-1,-2.729339600E-1,8.298309326E0,-1.029510498E0,8.366380489E0
9.365125150E-1,-2.489929199E-1,8.331817627E0,-9.959869385E-1,8.394830101E0
9.415479160E-1,-2.394256592E-1,8.374923706E0,-9.193725586E-1,8.428636760E0
9.465833160E-1,-2.250518799E-1,8.418014526E0,-8.858489990E-1,8.467487547E0
9.515881990E-1,-2.011108398E-1,8.475479126E0,-8.236083984E-1,8.517776868E0
9.566235990E-1,-1.484375000E-1,8.547302246E0,-7.278442383E-1,8.579520185E0
9.616590000E-1,-8.140563965E-2,8.609542847E0,-6.464385986E-1,8.634161092E0
9.666944000E-1,-8.140563965E-2,8.671798706E0,-5.602416992E-1,8.690258364E0
9.716992830E-1,-3.352355957E-2,8.743621826E0,-4.740447998E-1,8.756526991E0
9.767346830E-1,7.182312012E-2,8.815444946E0,-3.591308594E-1,8.823049537E0
9.817700840E-1,1.484375000E-1,8.911224365E0,-2.825164795E-1,8.916937195E0
9.867749670E-1,2.154846191E-1,8.997406006E0,-2.442016602E-1,9.003298446E0
9.918103670E-1,3.543395996E-1,9.093185425E0,-1.771697998E-1,9.101811186E0
9.968457670E-1,4.261627197E-1,9.198516846E0,-1.053466797E-1,9.208986087E0
